新闻id,时间,内容,risk_score,risk_label,risk_types,primary_risk_type,reason,confidence,summary,gold_source
44,2026-04-20 13:53:06,何一：未来金融基础设施将全面迁至区块链，SWIFT体系或被替代 币安联合首席执行官何一在2026香港Web3嘉年华上表示，她目前重点关注三大方向：AI与区块链、AI与金融的深度融合，认为这是所有人无法忽视的人类历史性时刻；公司规模扩大后从依赖创始人个人优势转向组织效能与人才建设；以及加密与传统金融的进一步整合。何一预判，未来全球外汇交易将在区块链上完成，取代现行SWIFT体系，资产交易亦将实现全球24小时不间断，与当前加密市场模式接轨，金融行业整体将迎来翻天覆地的变革。,5,low,[],无明显风险,新闻仅为何一在会议上的行业预测和观点，未涉及任何负面事件、攻击、损失或监管风险，整体为中性偏正面展望，无明显风险信号。,0.95,何一预测未来金融基础设施将迁至区块链，SWIFT体系或被替代。,agreement_candidate
45,2026-04-20 13:52:26,加密市场 | 未来7天主要代币解锁总值超3.3亿美元 未来7天内，主要代币解锁总值将超过3.3亿美元。据 NS3 报道，解锁计划包括一次性解锁超过500万美元的代币，以及每日线性解锁超过100万美元的代币。,0,low,[],无明显风险,新闻内容为计划性代币解锁的数据披露，无任何负面事件或不确定风险信号。解锁可能导致市场供给增加，但这是可预期的常规市场行为，不构成‘异常行情波动风险’。LLMa仅凭解锁计划就标注风险，属于过度推断，缺乏事实依据；LLMb虽然认为无显著风险，但给出了分数5，与无风险结论矛盾，分类和分数不一致。因此最终判定为无明显风险，分数0分。,0.95,未来一周主要代币解锁总值超3.3亿美元,human_adjudicated
46,2026-04-20 13:43:45,以太坊巨鲸引关注，2026年或成焦点 据 PANews 报道，除了比特币ETF，2026年最值得关注的以太坊“巨鲸”引发市场热议。投资者对以太坊生态系统的未来发展充满期待，尤其是在去中心化金融（DeFi）和NFT领域的应用。以太坊的技术升级和网络扩展计划也成为关注焦点，可能对其价格和市场地位产生重大影响。,8,low,[],无明显风险,新闻内容为对以太坊巨鲸和市场发展的中性展望，未涉及攻击、亏损、监管或异常事件，整体风险极低。,0.95,以太坊巨鲸引关注，2026年或成焦点，生态发展前景乐观。,agreement_candidate
47,2026-04-20 13:33:53,"HYPE 价格回落 6.3%，BTC/HYPE 汇率上涨 7% 据 BlockBeats 报道，Hyperinsight 监测显示，HYPE 价格日内回落 6.3%，BTC/HYPE 汇率在近 24 小时内上涨 7%，现报 1821。Hyperliquid 上一巨鲸日盈 90 万美元。

该巨鲸持有 BTC 多单（40 倍杠杆），规模 3140 万美元，均价 70,557 美元；HYPE 空单（5 倍杠杆），规模 2258 万美元，均价 38.93 美元。其头寸净盈利 50 万美元。",8,low,[],无明显风险,新闻仅描述HYPE价格日内波动及一巨鲸高杠杆头寸的盈利情况，未涉及攻击、挤兑、监管或市场异常等负面事件，整体风险较低。,0.95,HYPE价格回落，BTC/HYPE汇率上涨，Hyperliquid上一巨鲸日盈90万美元。,agreement_candidate
48,2026-04-20 13:33:35,Starknet主网升级，解锁原生隐私能力 据 Foresight News 报道，Starknet 发推表示，其主网将于今日 16:10 起暂时不可用，以进行 v0.14.2 升级，预计停机约 10 分钟。该升级引入协议内证明验证，使网络可原生验证证明而无需依赖应用层方案，从而解锁原生隐私能力并支持 STRK20 与 strkBTC，同时为 zkThreads 及更深层去中心化奠定基础。,5,low,[],无明显风险,新闻为 Starknet 计划内主网升级，短暂停机约 10 分钟，引入隐私功能等正常技术迭代，无任何负面事件、攻击、损失或监管问题，整体风险极低。,0.96,Starknet 主网计划升级，短暂停机以引入原生隐私能力。,agreement_candidate
49,2026-04-20 13:24:22,以太坊未来四年路线图聚焦扩展与量子安全 以太坊联合创始人Vitalik Buterin表示，以太坊的四年路线图将重点放在扩展和量子安全上，目标是在2028年前实现大规模扩展。据NS3报道，计划包括引入CKEVM以支持更复杂的计算、账户抽象以增强智能合约钱包功能，以及为后量子密码学做早期准备。Buterin还提到，以太坊计划在1至3个区块内实现最终性，并支持移动设备上的链验证zkVM。,0,low,[],无明显风险,新闻内容为以太坊的长期技术路线图，属于生态正常发展信息，不存在实际发生的风险事件。LLMb 正确给出 0 分和空风险类型，而 LLMa 给出 12 分，不仅超出 0-10 分范围，且与新闻无风险的事实严重不符。因此采纳 LLMb 的标注，否定 LLMa。,0.95,Vitalik公布以太坊四年路线图，聚焦扩展与量子安全。,llm_adjudicated
50,2026-04-20 13:12:01,Circle 和 Tether 在韩国扩展商标覆盖 Circle 和 Tether 这两家稳定币发行商在韩国扩展了商标覆盖。据 NS3 报道，KIPRIS 数据显示，Circle 今年申请了三项商标，去年申请了八项；Tether 今年申请了两项商标，去年也申请了两项。,5,low,[],无明显风险,新闻仅报道Circle和Tether在韩国提交商标申请，属于正常商业扩展，未涉及任何安全、合规、市场或运营风险，整体无负面信号。,0.96,Circle和Tether在韩国申请多项商标，扩展商标覆盖。,agreement_candidate
51,2026-04-20 13:10:13,SBI Ripple Asia 推出基于 XRP Ledger 的预付支付代币平台 SBI Ripple Asia 在 XRP Ledger 上推出预付支付代币平台，目标是日本约 30 万亿日元的预付支付市场。据 NS3 报道，东武顶级旅游将成为首个发行商，推出以日元支持的旅游支付代币，用于酒店、交通和景点。金融科技观察者称，SBI Ripple Asia 于 3 月 26 日成为日本《支付服务法》下注册的第三方预付支付工具发行商。,5,low,[],无明显风险,新闻宣布SBI Ripple Asia基于XRP Ledger推出合规预付支付代币平台，并已成为注册发行商，属于正常业务拓展和生态进展，无损失、攻击、执法或异常信号。,0.95,SBI Ripple Asia在XRP Ledger上推出预付支付代币平台，已注册为日本合法发行商。,agreement_candidate
52,2026-04-20 13:07:05,BNB 跌破 620 USDT，24 小时跌幅0.49% 据币安行情数据显示，BNB 跌破 620 USDT，现报价 619.400024 USDT，24 小时跌幅0.49%。,8,low,[],无明显风险,新闻仅报道BNB价格小幅下跌0.49%，属正常市场波动，未涉及攻击、监管、流动性危机等负面事件，风险极低。,0.95,BNB跌破620 USDT，24小时跌幅0.49%,agreement_candidate
53,2026-04-20 13:03:47,Tether 恢复跨链 USDT0 转账，系统完整性未受影响 据 BlockBeats 报道，Tether 宣布跨链美元稳定币 USDT0 转账已恢复。基础设施按设计运行，系统完整性未受影响，无风险暴露。暂停前提交的在途交易已安全完成结算。,2,low,[],无明显风险,新闻称Tether已恢复跨链USDT0转账，系统按设计运行且无风险暴露，在途交易已安全结算。该公告为正常的服务恢复说明，未出现任何负面事件或风险信号，因此风险极低。,0.95,Tether宣布跨链USDT0转账恢复，系统正常，无风险，在途交易已结算。,agreement_candidate
54,2026-04-20 13:03:38,以太坊合约疑似遭攻击，损失约 25.7 万美元 据 Foresight News 报道，TenArmor 监测发现以太坊上某合约疑似遭受攻击，损失约 25.7 万美元。该合约中的 uniswapV3SwapCallback 函数似乎缺少适当的访问控制。,40,medium,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻核心事件是合约疑似因访问控制漏洞遭到攻击，造成有限资产损失。LLMa正确地识别了风险类别，但将“疑似”与相对较小损失评为5.0分（中高风险）略高；LLMb错误地将“疑似”认定为已确认攻击，并给出7.5分（高风险），明显高估了风险严重程度。综合考虑事实的未确认性和有限损失，最终判定风险分数为4.0（中低风险），类别保持不变。,0.95,以太坊某合约疑似遭攻击损失25.7万美元，或因访问控制缺失。,human_adjudicated
55,2026-04-20 12:53:46,"0x004 地址减仓 BTC 空单并计划市价买单 据 BlockBeats 报道，Hyperinsight 监测显示，0x004 开头地址今日持续减仓 BTC 空单，平仓规模达 808.8 枚。

该地址计划若 BTC 价格回涨至 74,900 美元，将剩余 1488 万美元规模仓位一并清仓，当前浮盈约 28 万美元。",8,low,[],无明显风险,新闻仅描述一个地址平仓BTC空单并计划市价买单的交易行为，属于正常的市场操作，未出现资产损失、攻击或市场异常信号，整体风险极低。,0.95,某地址减仓808.8枚BTC空单，计划在价格回涨时清仓剩余仓位。,agreement_candidate
56,2026-04-20 12:53:35,资产代币化平台 BRIX 推迟上线，因 DeFi 安全事件 Foresight News 消息，资产代币化平台 BRIX 将推迟至 4 月 23 日上线。据 Foresight News 报道，官方表示，由于 DeFi 领域近期发生安全事件，不希望在生态系统处于不安状态下发布。BRIX 将与所有集成合作伙伴核对并检查设置。此前消息，Brix 曾于 4 月 15 日完成 550 万美元融资，Yapi Kredi 的风险投资部门 FRWRD 等参投。,8,low,[],无明显风险,新闻仅报道BRIX平台因近期DeFi安全事件推迟上线并进行安全检查，属于项目方基于外部环境做出的预防性业务决策，未发生自身攻击、损失或违规，无明显负面风险信号。,0.95,BRIX因DeFi安全事件推迟上线并进行安全检查,agreement_candidate
57,2026-04-20 12:52:59,多家借贷协议TVL大幅下降 多家借贷和收益协议的总锁仓量（TVL）出现两位数百分比的下降。据CoinDesk报道，尽管如此，代币价格的跌幅相对有限。,0,low,[],无明显风险,裁决认为该新闻不构成实际风险。TVL下降本身是资金流出的市场现象，并非风险事件，且代币价格未出现明显崩溃，说明市场情绪平稳。LLMa将其标注为'偿付能力/储备/流动性风险'缺乏事实依据，属于过度标注；LLMb的风险类别为空且理由倾向于无明显风险，但其给出的分数20（在0-10制下严重偏高）与无明显风险的判断矛盾。因此，最终裁决为无明显风险，分数0，并否定双方原有分数。,0.95,多家借贷协议TVL大幅下降，但代币价格跌幅相对有限。,human_adjudicated
58,2026-04-20 12:24:08,专家：以太坊在 2026 年的地位不如 2023 年 加密分析师 Ansem 表示，以太坊在 2026 年的地位不如 2023 年，并认为 ETH 的投资论点多年来一直在减弱。据 NS3 报道，他将这一观点与 Solana 在零售市场的领先地位、Hyperliquid 在永续期货中的实力、rollup 的弱势以及 Aave 的 rsETH 漏洞事件联系起来，而其他社区成员对此表示异议。,8,low,[],无明显风险,新闻仅为分析师对以太坊未来地位的主观看法和市场评论，提及的因素均为已知信息或历史事件，未出现实际安全漏洞、资产损失、监管行动或市场异常，不构成直接风险。,0.95,分析师认为以太坊2026年地位下降，并提及Solana、Hyperliquid等竞争及历史漏洞事件。,agreement_candidate
59,2026-04-20 12:23:57,"LayerZero Labs 发布 KelpDAO 攻击事件说明，损失约 2.9 亿美元 LayerZero Labs 发布攻击事件说明称，4 月 18 日，KelpDAO 遭攻击损失约 2.9 亿美元。据 BlockBeats 报道，攻击者为朝鲜背景的 Lazarus Group。攻击通过投毒去中心化验证网络的下游 RPC 基础设施实现。

LayerZero 强调，此次事件仅限于 KelpDAO 的 rsETH 应用配置，未对其他资产或应用造成影响。KelpDAO 采用单一 DVN 架构，缺乏独立验证节点来识别伪造消息。

LayerZero 表示，将推动所有采用单 DVN 配置的项目迁移至多 DVN 架构，并已暂停为 1/1 配置应用提供签名与验证服务。公司正与全球执法机构合作调查，并协助行业伙伴追踪被盗资金。",82,high,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,KelpDAO 遭确认攻击，损失约2.9亿美元，由单一DVN架构的RPC投毒导致，金额巨大，构成严重安全风险。,0.95,KelpDAO 遭 Lazarus Group 攻击，损失约2.9亿美元，源于单一DVN漏洞。,agreement_candidate
60,2026-04-20 12:23:38,"AI趋势 | Vitalik Buterin：以太坊未来五年路线图 以太坊联合创始人 Vitalik Buterin 在 2026 香港 Web3 嘉年华上发表演讲，公布以太坊未来 5 年路线图。据 Foresight News 报道，以太坊有两大核心功能：作为『公共公告板』发布消息，以及提供计算能力运行共享数字对象，目标是保障用户的自我主权安全、可验证性与公平参与。

短期核心协议目标包括短期扩容、启动 ZK-EVM 推广、早期后量子准备等。下一次硬分叉将纳入多项 EIP，包括并行化区块级访问列表、Gas 重新定价等。EIP-8141 将交易视为调用序列，支持智能合约钱包、Gas 代付等。

长期协议目标有最大化安全的共识、全面抗量子、最大简洁等。Lean Consensus 将融合比特币式『可用链』与 BFT 式『最终性』机制的优点。ZK-EVM 方面，2025 年已实现实时证明 EVM 执行，2026 年目标是『足够安全』，到 2028 年将成为验证链的主要方式。",8,low,[],无明显风险,新闻仅描述Vitalik公布以太坊未来五年技术路线图，涉及扩容、ZK-EVM等常规技术规划，未出现安全事件、监管执法或市场异常，整体风险极低。,0.96,Vitalik公布以太坊未来五年路线图，聚焦扩容、ZK-EVM及抗量子等长期技术升级。,agreement_candidate
61,2026-04-20 12:01:16,币安合约更新QQQUSDT等永续合约杠杆及保证金阶梯 据币安官方公告，币安合约已于2026年04月21日15:30（东八区时间）更新QQQUSDT、SPYUSDT、EWJUSDT和EWYUSDT U本位永续合约的杠杆及保证金阶梯。用户当前仓位可能会受到影响，建议用户在变更前及时进行相应调整。,8,low,[],无明显风险,币安合约更新部分永续合约的杠杆和保证金阶梯，属于交易所常规参数调整，不涉及攻击、亏损、监管等负面事件，对市场整体无显著风险。,0.95,币安合约上调QQQUSDT等永续合约杠杆及保证金阶梯。,agreement_candidate
62,2026-04-20 11:57:46,Tiger Research：社交工程导致 Web3 黑客攻击占比 74.7% Tiger Research 表示，今年第一季度，社交工程导致的 Web3 黑客攻击占比达到 74.7%。据 NS3 报道，资金追回率仍低于 10%。Tiger Research 指出，频繁的盗窃事件和低资金追回率正在削弱行业的信任。,0,low,[],无明显风险,新闻仅为行业安全统计报告，无正在发生或已发生的具体风险事件。根据风险标注原则，此类内容应判为无明显风险，分数为0。LLMa将一般性安全提示标注为“链上漏洞/攻击风险”且给予风险分数，属于过度标注，类别与事实不符（社交工程非链上漏洞）。LLMb的判断正确，故采纳其裁决。,0.95,研究指出社交工程致Web3黑客攻击占比高，资金追回率低，行业信任受削弱。,human_adjudicated
63,2026-04-20 11:52:37,比特币现货ETF上周净流入9.96亿美元，连续3周实现净流入 Odaily星球日报报道，根据 SoSoValue 数据，上周交易日（美东时间 4 月 13 日至 4 月 17 日）比特币现货 ETF 净流入 9.96 亿美元。上周净流入最多的比特币现货 ETF 为贝莱德（Blackrock）ETF IBIT，周度净流入为 9.06 亿美元，目前 IBIT 历史总净流入达 646.30 亿美元。其次为 Ark & 21 Shares ETF ARKB，周度净流入为 9850.36 万美元，目前 ARKB 历史总净流入达 15.50 亿美元。上周净流出最多的比特币现货 ETF 为富达（Fidelity）ETF FBTC，周度净流出为 1.04 亿美元，目前 FBTC 历史总净流入达 110.10 亿美元。截至发稿前，比特币现货 ETF 总资产净值为 1014.50 亿美元，ETF 净资产比率（市值较比特币总市值占比）达 6.55%，历史累计净流入已达 577.40 亿美元。,0,low,[],无明显风险,新闻内容为比特币现货ETF的资金流入流出统计，属于市场常规报告，不含任何实质性风险事件。LLMa的评分0分且无风险类别基本合理，但risk_types应为['无明显风险']而非空数组，因此需要override_both进行调整。LLMb给出风险分数15，超出0-10分范围且与理由矛盾（理由称风险极低），完全不合理，必须否定。最终裁决为无明显风险，分数0。,0.95,比特币现货ETF上周净流入9.96亿美元，连续3周实现净流入,llm_adjudicated
64,2026-04-20 11:46:10,以太坊现货ETF上周净流入2.76亿美元，富达FETH净流入1.26亿美元居首 Odaily星球日报报道，根据 SoSoValue 数据，上周交易日（美东时间 4 月 13 日至 4 月 17 日）以太坊现货 ETF 净流入 2.76 亿美元。上周净流入最多的以太坊现货 ETF 为富达（Fidelity）ETF FETH，周度净流入为 1.26 亿美元，目前 FETH 历史总净流入达 23.60 亿美元。其次为贝莱德（BlackRock）ETF ETHA，周度净流入为 9922.71 万美元，目前 ETHA 历史总净流入达 118.30 亿美元。上周净流出最多的以太坊现货 ETF 为灰度（Grayscale）以太坊信托 ETHE，周度净流出为 1667.90 万美元，目前 ETHE 历史总净流出达 52.0 亿美元。截至发稿前，以太坊现货 ETF 总资产净值为 142.60 亿美元，ETF 净资产比率（市值较以太坊总市值占比）达 4.87%，历史累计净流入已达 119.40 亿美元。,5,low,[],无明显风险,新闻仅报告以太坊现货ETF上周资金净流入情况，属于常规市场资金流动数据更新，未涉及任何攻击、漏洞、监管执法、市场异常或项目负面事件，整体无风险信号。,0.96,以太坊现货ETF上周净流入2.76亿美元，富达FETH领涨，灰度ETHE小幅流出。,agreement_candidate
65,2026-04-20 11:40:09,SOL现货ETF上周净流入3517万美元 Odaily星球日报报道， SoSoValue 数据显示，上周交易日（美东时间 4 月 13 日至 4 月 17 日）SOL 现货 ETF 净流入 3517.0 万美元。上周净流入最多的 SOL 现货 ETF 为 Bitwise ETF BSOL，周度净流入为 2963.32 万美元，目前 BSOL 历史总净流入达 8.19 亿美元。其次为富达（Fidelity）ETF FSOL，周度净流入为 462.52 万美元，目前 FSOL 历史总净流入达 1.55 亿美元。截至发稿前，SOL 现货 ETF 总资产净值为 9.03 亿美元，ETF 净资产比率（市值较 SOL 总市值占比）达 1.76%，历史累计净流入已达 10.10 亿美元。,5,low,[],无明显风险,新闻仅报告SOL现货ETF上周资金净流入数据，反映市场资金动向，无任何负面事件、损失或异常波动，因此风险极低。,0.98,SOL现货ETF上周净流入3517万美元，历史累计净流入超10亿美元。,agreement_candidate
66,2026-04-20 11:26:00,俄罗斯拟将无牌加密服务定为刑事犯罪 俄罗斯国家杜马收到一项法律草案，拟将经营无牌加密服务定为刑事犯罪，个人最高可判四年监禁。据 NS3 报道，团伙犯罪最高可判七年监禁，并处以最高 100 万卢布的罚款。俄罗斯最高法院表示，在数字货币和数字权利法于 7 月生效之前，该提案为时过早。,25,low,"[""监管与法律风险""]",监管与法律风险,新闻涉及俄罗斯拟将无牌加密服务刑事化的法律草案，但尚处提议阶段，且最高法院认为为时过早，实际执行不确定性高，对市场直接冲击有限，因此评为轻微风险。,0.88,俄罗斯拟立法将无牌加密服务定为刑事犯罪，最高法院表示提案为时过早。,agreement_candidate
67,2026-04-20 11:25:22,X 推出 Cashtags 功能，两天内交易量达 10 亿美元 X 的产品负责人尼基塔·比尔（Nikita Bier）表示，自周二晚上推出 Cashtags 功能以来，X 在不到两天内产生了约 10 亿美元的交易量。据 NS3 报道，Cashtags 允许用户将特定资产或智能合约地址附加到股票代码上，点击后可打开实时价格图表和相关帖子。目前，该功能仅限于美国和加拿大的 iPhone 用户，唯一宣布的经纪整合是 Wealthsimple。比尔表示，X 不会自行执行交易，而是计划提供金融数据工具和路由链接。,10,low,[],无明显风险,新闻报道了X平台推出Cashtags新功能并产生高交易量，属于正常业务进展，没有出现攻击、损失、监管或市场异常等风险信号，因此风险很低。,0.95,X推出Cashtags功能，两天交易量达10亿美元。,agreement_candidate
68,2026-04-20 11:18:13,Aave TVL 两天内下降 84.5 亿美元 Aave 的总锁仓价值在两天内下降了 84.5 亿美元，降至 179.47 亿美元。据 NS3 报道，同期所有链上的 DeFi 总锁仓价值下降了 132.1 亿美元，降至 862.86 亿美元。,22,low,[],无明显风险,新闻仅报道了Aave及DeFi总锁仓价值的下降数据，属于正常的市场波动和资金流动，未涉及攻击、漏洞、监管或欺诈等实质性风险事件，对项目安全和市场冲击有限。,0.94,Aave TVL两天内下降84.5亿美元，DeFi总TVL同步下降。,agreement_candidate
69,2026-04-20 11:15:54,BTC和ETH期货市场大规模清算，长仓占比超八成 BTC和ETH在过去24小时内的加密永续期货市场中，各自估计清算约1.25亿美元。据NS3报道，BTC清算中长仓占比为83.44%，ETH清算中长仓占比为85.66%。,52,medium,"[""爆仓 / 清算风险"", ""异常行情波动风险""]",爆仓 / 清算风险,新闻报告BTC和ETH期货市场在24小时内均出现约1.25亿美元的大规模清算，且长仓占比均超过80%，表明多头遭受重创，可能引发短期市场波动和连锁清算风险。,0.9,BTC和ETH永续期货市场各清算1.25亿美元，长仓占比超80%。,agreement_candidate
70,2026-04-20 11:03:48,Relay 核心产品未受影响，金库提款暂无法处理 Foresight News 消息，互操作性基础设施 Relay 发推表示，其核心产品未受 rsETH 事件影响，所有路线将继续正常运行。据 Foresight News 报道，目前暂无法处理 Relay 金库提款，因为抵押品已存入 Aave WETH 市场以获取收益。若 Aave 未及时更新，团队将启动流程来帮助用户手动提款。,20,low,"[""偿付能力 / 储备 / 流动性风险""]",偿付能力 / 储备 / 流动性风险,新闻明确显示 Relay 金库存在暂时的提款延迟，属于轻度流动性风险，但无资产损失，核心业务正常，且团队有补救方案，因此风险较低。LLMa 和 LLMb 的风险类别判断合理，但给出的风险分数（45/25）明显偏离 0-10 分制且过高，未准确反映风险的轻微与可控性。最终综合类别，将分数修正为 2 分。,0.95,Relay金库因抵押品存入Aave导致提款暂停，团队将协助手动处理。,human_adjudicated
71,2026-04-20 11:03:38,"Palantir CEO新书《技术共和国》引发关于国家权力与科技的讨论 PANews在 X（原Twitter）表示，Palantir CEO Alex Karp的新书《技术共和国》正在掀起大讨论。书中核心思想是国家权力必须通过科技来强化，硅谷有义务为此服务。

Palantir为美国政府、CIA、军方提供数据分析与监控工具，其描述的未来与Web3存在冲突。Karp认为国家必须对信息和资金流动拥有完整的可见性和控制权。

比特币从第一天开始信奉相反的理念，认为权力过度集中在少数机构手里对大多数人来说是风险。技术应该让个人有能力绕开这种控制。权力需要制衡，尤其在监控技术越来越强的今天。",8,low,[],无明显风险,新闻仅描述Palantir CEO新书引发的关于科技与国家权力的思想讨论，虽提及与Web3理念冲突，但未发生任何实际安全事件、监管行动或市场冲击，属于普通行业观点交流，无明显风险。,0.95,Palantir CEO新书主张用科技强化国家权力，与比特币去中心化理念形成思想冲突。,agreement_candidate
72,2026-04-20 10:53:44,"以太坊名称服务网关 eth.limo 遭社会工程攻击短暂劫持 以太坊名称服务网关 eth.limo 于周五晚间在其域名注册商处遭到劫持。项目方在周六发布的事后分析报告中表示，此次事件源于一次社会工程攻击。

据 BlockBeats 报道，攻击者冒充 eth.limo 团队成员，诱骗域名注册商 EasyDNS 启动账户恢复流程。时间线显示，攻击者在 4 月 18 日凌晨 2 点 23 分将 eth.limo 的域名服务器切换至 Cloudflare，触发了自动宕机警报并惊动了 eth.limo 团队。

随后在凌晨 3 点 57 分，域名服务器又被切换至 Namecheap。最终，EasyDNS 在早上 7 点 49 分恢复了团队的账户访问权限。eth.limo 是一个免费、开源的反向代理服务，允许用户通过在任意 .eth 域名后添加「.limo」，在普通浏览器中访问由 Ethereum Name Service 关联、并托管在 IPFS、Arweave 或 Swarm 上的内容。",20,low,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,新闻明确描述了域名劫持事件，属于基础设施层面的安全异常，构成风险。但事件影响轻微，已快速恢复，无实际损失，因此风险分数设为2分。LLMa的风险类别正确，但分数25超出0-10范围且过高，不合理；LLMb给了空风险类型，未识别出实际存在的风险事件，不合理。,0.95,eth.limo域名遭社会工程攻击短暂劫持，已恢复。,human_adjudicated
73,2026-04-20 10:44:03,AI趋势 | 加密风险投资结构性转变，AI赛道崛起影响募资 据 ChainCatcher 报道，加密风险投资领域正经历结构性转变，投资者要求初创项目具备真实用户与收入，代币模型作为退出方式的可靠性下降。AI 赛道崛起抢占了大量 LP 资金与创业人才，加剧了加密 VC 募资难度。多位投资人预计，2026-2027 年将成为自 2018 年以来最强劲的投资年份，资金将流向稳定币、支付、代币化、真实世界资产及金融基础设施等方向，加密 VC 与传统 VC 的边界将加速融合。,8,low,[],无明显风险,新闻描述了加密风险投资领域结构性转变、募资难度增加及AI赛道竞争等宏观趋势，属于行业分析和未来预测，未涉及任何已发生的负面事件、损失、攻击或监管行动，整体风险较低。,0.95,加密VC募资难度增加，AI赛道崛起，但预计2026-2027年将迎来强劲投资期。,agreement_candidate
74,2026-04-20 10:43:56,"法国加密货币绑架案频发，内政部拟推新措施应对 法国今年至少报告 41 起与加密货币相关的绑架和入室抢劫案，平均每 2.5 天发生一起。据Odaily星球日报报道，内政部代表部部长 Jean-Didier Berger 表示，正与内政部长 Laurent Nuñez 准备一系列新措施以应对该问题。

扳手攻击通过身体暴力强迫受害者转账加密资产。Certik 与 Jameson Lopp 数据显示，2025 年全球核实的身体强迫事件达 72 起，同比增长 75%。攻击者从寻找钱包转向猎杀个人，通过社交媒体和泄露数据锁定目标。由于加密交易不可逆，攻击者常将非法所得兑换为稳定币并跨链转移以逃避追查。专家建议使用多重签名、提款延迟和支出限制等工具降低被攻击风险。",0,low,[],无明显风险,新闻内容是关于针对加密货币持有者的实体犯罪活动增加，以及政府计划应对措施。这属于社会安全事件，并非加密货币市场内生风险。LLMa给出了最高分10分，但判断理由为‘风险较低’，自相矛盾且无事实依据。LLMb标注为‘监管与法律风险’，但新闻仅提到内政部准备新措施，没有实际监管收紧、政策发布或法律执行，因此属于过度推断。基于新闻事实，不存在适用风险列表中的任何明确风险，故判定为无明显风险，得分0。,0.95,法国加密货币绑架案频发，内政部拟出台新措施应对。,human_adjudicated
75,2026-04-20 10:40:25,"加密货币市场普遍下跌，SocialFi和AI逆势上涨 过去24小时内，大多数加密货币板块走低。据 NS3 报道，Bitcoin下跌1.11%至约74,000美元，Ethereum下跌2.37%至低于2,300美元。SoSoValue数据显示，SocialFi和AI板块逆势上涨，分别增长1.92%和0.95%。ssiMeme、ssiDeFi和ssiLayer2指数分别下跌3.00%、2.70%和2.63%。",5,low,[],无明显风险,新闻仅描述市场普遍小幅下跌和部分板块逆势上涨的正常行情波动，未涉及攻击、监管、清算或异常事件，风险极低。,0.96,市场普跌，SocialFi和AI板块逆势上涨。,agreement_candidate
76,2026-04-20 10:35:16,地缘政治 | 比特币回落至7.5万美元，市场遭多重冲击 Kelp DAO因rsETH可疑活动暂停合约并启动调查。据PANews报道，Lido暂停earnETH存款。ZachXBT揭露RAVE代币操纵导致散户巨亏。地缘紧张与多起安全事件冲击市场，比特币回落至7.5万美元，DeFi协议出现大规模资金外流。,75,high,"[""链上漏洞 / 攻击风险"", ""诈骗 / 跑路 / Rug Pull 风险"", ""基础设施 / 协议层异常风险"", ""偿付能力 / 储备 / 流动性风险"", ""宏观 / 政策冲击风险""]",链上漏洞 / 攻击风险,新闻包含多个已明确发生的风险事件，涉及协议安全、代币操纵、资金外流和宏观冲击，整体风险显著。LLMa和LLMb均合理识别了主要风险，但LLMa错误地将比特币回落单独列为“异常行情波动风险”，该现象是风险事件的结果而非独立风险类别；LLMb则遗漏了“偿付能力/储备/流动性风险”，而新闻中“大规模资金外流”是直接证据。综合双方合理部分并修正不足，保留具有直接事实支撑的五个风险类别，风险分数7.5反映高风险但尚未达到极端严重程度。,0.95,Kelp DAO和Lido因安全疑虑暂停业务，RAVE代币操纵致市场下跌和资金外流。,llm_adjudicated
77,2026-04-20 10:23:36,Bless 项目方出售 3784 万枚 BLESS，跨链至 BSC 据 Foresight News 报道，Bless 项目方于 4 小时前将 1 亿枚 BLESS 从 Solana 跨至 BSC 并出售。目前其已卖出 3784 万枚 BLESS，换得 334 枚 BNB。,60,medium,"[""项目治理 / 团队异常风险"", ""大额转账 / 巨鲸行为风险""]",项目治理 / 团队异常风险,新闻明确报道项目方主动出售大量代币，这一行为可能引发市场抛压和信任危机，对持币者构成直接负面冲击，符合项目治理/团队异常风险和大额转账/巨鲸行为风险的定义。LLMa和LLMb的标注类别一致，均有事实依据，但LLMa的分数（5.0）略低估了事件严重性，LLMb的分数（6.5）略高，综合后评为6分（中高风险）。,0.95,Bless项目方将3784万枚BLESS跨至BSC并出售，换得334枚BNB。,llm_adjudicated
78,2026-04-20 10:13:35,Solana 生态 DeFi 协议 Meteora 应对 Vercel 安全事件 Solana 生态 DeFi 协议 Meteora 公告称，关注到云托管平台 Vercel 的安全事件。据 BlockBeats 报道，Meteora 已在 12 小时前轮换环境密钥并检查日志，一切正常。官方将继续监控事态发展，以确保 Meteora 及其用户的安全。,8,low,[],无明显风险,新闻仅说明Meteora针对Vercel安全事件采取了轮换密钥和日志检查等预防措施，并确认一切正常，未发生实际攻击或损失，整体风险较低。,0.95,Meteora回应Vercel安全事件，已轮换密钥并确认安全。,agreement_candidate
