新闻id,时间,内容,score_a,score_b,score_diff,label_a,label_b,label_match,label_distance,primary_a,primary_b,primary_match,types_a,types_b,types_exact_match,types_jaccard,one_no_risk_one_risk,types_disjoint,consistency_level,suggested_action,a_risk_score,a_risk_label,a_raw_risk_label,a_risk_types,a_primary_risk_type,a_reason,a_confidence,a_summary,b_risk_score,b_risk_label,b_raw_risk_label,b_risk_types,b_primary_risk_type,b_reason,b_confidence,b_summary
110,2026-04-20 00:03:49,地缘政治 | 伊朗关闭霍尔木兹海峡，合成油期货交易激增 据 NS3 报道，随着霍尔木兹海峡的冲突加剧，Crypto交易者在Hyperliquid平台上推动超过5亿美元的合成油期货交易。布伦特原油价格突破每桶90美元，WTI合约从周五下午传统商品交易所的79美元收盘价上涨至86美元。伊朗在宣布重新开放一天后关闭了海峡，导致Hyperliquid合成市场的未平仓合约创下超过20亿美元的纪录，交易者在传统市场关闭期间寻求周末对冲。,10,18,8,low,low,True,0,无明显风险,宏观 / 政策冲击风险,False,[],"[""宏观 / 政策冲击风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,10,low,low,[],无明显风险,新闻描述因地缘政治事件导致加密合成油期货交易量增加，属于正常市场活动，未出现资产损失、攻击、监管执法或系统异常等风险信号。,0.95,伊朗关闭霍尔木兹海峡引发加密合成油期货交易激增。,18,low,low,"[""宏观 / 政策冲击风险""]",宏观 / 政策冲击风险,新闻描述了伊朗关闭霍尔木兹海峡的地缘冲突事件，引发交易者在Hyperliquid平台交易合成油期货，但未出现加密市场直接损失、系统风险或负面冲击，仅反映地缘政治影响下的正常交易行为，因此风险较低。,0.95,伊朗关闭海峡推动Hyperliquid合成油期货交易激增，未平仓合约创纪录。
114,2026-04-19 22:13:46,"比特币价格波动或引发清算潮 据 ChainCatcher 报道，Coinglass 数据显示，若 BTC 跌破 72,140 美元，主流 CEX 累计多单清算强度将达 9.73 亿美元。反之，若 BTC 突破 79,349 美元，主流 CEX 累计空单清算强度将达 9.52 亿美元。",25,45,20,low,medium,False,1,无明显风险,爆仓 / 清算风险,False,[],"[""爆仓 / 清算风险"", ""异常行情波动风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,[],无明显风险,新闻仅展示基于当前价格的清算强度预估数据，未发生实际清算事件或市场冲击，属于常规市场数据报告，整体风险较低。,0.9,Coinglass数据显示若BTC跌破或突破特定价位将引发大规模多空清算，但仅系预估。,45,medium,medium,"[""爆仓 / 清算风险"", ""异常行情波动风险""]",爆仓 / 清算风险,新闻指出若比特币价格跌破或突破特定价位，可能引发总计超9亿美元的清算，虽非已发生事件，但潜在清算规模较大，存在引发市场波动和连锁清算的风险。,0.85,Coinglass数据显示，BTC若跌破72140或突破79349美元，可能引发超9亿美元清算。
116,2026-04-19 21:33:39,DefiLlama创始人：weETH在Aave上接近清算价格 DefiLlama创始人0xngmi表示，目前无WETH头寸面临即时清算风险。据Odaily星球日报报道，weETH在Aave上接近清算价格，但所有贷款均以ETH作为抵押，因此安全，除非利率急剧上升。,25,10,15,low,low,True,0,爆仓 / 清算风险,无明显风险,False,"[""爆仓 / 清算风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,"[""爆仓 / 清算风险""]",爆仓 / 清算风险,新闻提到weETH在Aave上接近清算价格，但创始人明确表示目前无即时清算风险，且贷款有ETH抵押，除非利率急剧上升才会构成威胁，整体风险较低。,0.95,DefiLlama创始人称weETH在Aave接近清算价但无即时风险,10,low,low,[],无明显风险,新闻核心是DefiLlama创始人澄清weETH在Aave上虽接近清算价格，但因贷款以ETH为抵押而安全，无即时清算风险，整体风险较低。,0.95,DefiLlama创始人称weETH在Aave接近清算价但安全，无即时风险。
120,2026-04-19 21:11:36,中国金融法草案公众咨询结束，数字货币监管仍有限 中国关于金融法草案的为期一个月的公众咨询于4月19日结束。据NS3报道，该草案对数字货币和加密资产的监管边界仍然有限。草案将扩大监管机构的权力，包括在调查期间访问记录、冻结或扣押涉嫌非法资金或证券。此外，草案还可能在调查期间阻止涉嫌违规者离境。,8,25,17,low,low,True,0,无明显风险,监管与法律风险,False,[],"[""监管与法律风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,8,low,low,[],无明显风险,新闻仅涉及中国金融法草案公众咨询结束，草案对数字货币监管边界仍然有限，未出现任何实际执法、攻击、损失或市场异常，整体风险较低。,0.95,中国金融法草案公众咨询结束，数字货币监管仍有限,25,low,low,"[""监管与法律风险""]",监管与法律风险,新闻提及中国金融法草案公众咨询结束，草案对数字货币监管边界有限，但拟扩大监管机构调查、冻结资产和阻止离境的权力。目前仅为草案阶段，未形成正式法律或执法行动，风险尚处于潜在状态，整体风险较低。,0.82,中国金融法草案咨询结束，拟扩大监管权力但对数字货币监管有限。
135,2026-04-19 17:45:26,市场流动性风险！ETH市场面临rsETH贷款削减压力 Spark策略负责人monetsupply.eth警告称，rsETH支持的贷款可能面临10%至15%的削减，这可能会对ETH市场流动性造成压力。据NS3报道，monetsupply.eth表示约16.5%的ETH市场由rsETH支持。,35,50,15,low,medium,False,1,偿付能力 / 储备 / 流动性风险,偿付能力 / 储备 / 流动性风险,True,"[""偿付能力 / 储备 / 流动性风险""]","[""偿付能力 / 储备 / 流动性风险"", ""异常行情波动风险""]",False,0.5,False,False,C_severe_conflict,human_review_priority,35,low,low,"[""偿付能力 / 储备 / 流动性风险""]",偿付能力 / 储备 / 流动性风险,新闻为策略负责人对rsETH贷款可能削减的警告，尚属预测而非已发生事件，虽提及潜在流动性压力，但无资产损失、挤兑或故障等确认事实，故评为低风险。,0.72,策略负责人警告rsETH贷款或削减10%-15%，或影响ETH市场流动性。,50,medium,medium,"[""偿付能力 / 储备 / 流动性风险"", ""异常行情波动风险""]",偿付能力 / 储备 / 流动性风险,新闻为策略负责人警告rsETH支持的贷款可能面临10%-15%削减，可能引发ETH市场流动性压力，但该信息仅属观点而非已发生事实，不确定性较高，因此评为中等风险。,0.65,rsETH贷款或削减，ETH市场流动性或受压。
136,2026-04-19 17:23:37,Hyperwave 暂停 LayerZero 桥接以应对 Kelp rsETH 事件 Hyperliquid 生态 DeFi 项目 Hyperwave 公告，正在积极监控 Kelp rsETH 事件。据 BlockBeats 报道，Hyperwave 正与安全合作伙伴密切合作，确保资产安全。作为预防措施，已暂时暂停所有 Hyperwave 资产的 LayerZero 桥接。,25,15,10,low,low,True,0,基础设施 / 协议层异常风险,无明显风险,False,"[""基础设施 / 协议层异常风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,Hyperwave 因监控到 Kelp rsETH 相关风险事件，主动暂停 LayerZero 桥接作为预防措施，目前未发生实际攻击或资产损失，属于谨慎的安全应对，整体风险较低。,0.85,Hyperwave 暂停 LayerZero 桥接应对 Kelp rsETH 事件,15,low,low,[],无明显风险,新闻仅描述Hyperwave因监控Kelp rsETH事件而主动暂停LayerZero桥接，属于预防性措施，未发生实际损失、攻击或系统异常，整体风险较低。,0.9,Hyperwave暂停LayerZero桥接作为预防措施应对Kelp rsETH事件。
139,2026-04-19 15:23:39,Morpho CEO：Kelp DAO 攻击事件影响有限 Foresight News 消息，Morpho 联合创始人兼首席执行官 Paul Frambot 就 Kelp DAO 攻击事件发推表示，Morpho 智能合约安全，运行正常。据 Foresight News 报道，在数千个隔离市场中，仅有两个市场涉及 rsETH 抵押借贷，合计约 100 万美元 ETH；在逾 500 个 Morpho Vault 中，仅有 2 个对上述市场存在敞口，得益于完全隔离的市场设计，其他所有 Vault 均不受影响，但不排除因更广泛的生态系统敞口带来连锁反应。同时，Morpho 宣布已预防性暂停 MORPHO 代币在 Arbitrum 上的 OFT 跨链桥，待 rsETH 事件根本原因查明后方可恢复。,30,15,15,low,low,True,0,链上漏洞 / 攻击风险,无明显风险,False,"[""链上漏洞 / 攻击风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,30,low,low,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻显示Kelp DAO攻击事件对Morpho影响有限，仅两个隔离市场涉及约100万美元ETH，Morpho合约本身安全，且已预防性暂停跨链桥，整体风险可控。,0.95,Kelp DAO攻击导致Morpho两个市场损失约100万美元，已暂停跨链桥。,15,low,low,[],无明显风险,新闻称 Kelp DAO 攻击事件对 Morpho 影响有限，仅涉及两个隔离市场和两个 Vault，且 Morpho 智能合约安全，已预防性暂停 Arbitrum 跨链桥，整体风险较低。,0.9,Morpho CEO称Kelp DAO攻击影响有限，已暂停Arbitrum跨链桥。
143,2026-04-19 15:13:36,"Morpho 暂停 Arbitrum 上 MORPHO 代币跨链桥 Morpho 宣布暂停 MORPHO 代币在 Arbitrum 上的 OFT 跨链桥。据 BlockBeats 报道，此举是为了预防 KelpDAO 和 LayerZero 事件的影响。

在 rsETH 事件根本原因查明之前，Arbitrum 的跨链功能将持续暂停。",48,30,18,medium,low,False,1,基础设施 / 协议层异常风险,基础设施 / 协议层异常风险,True,"[""基础设施 / 协议层异常风险""]","[""基础设施 / 协议层异常风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,48,medium,medium,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,Morpho 因预防 KelpDAO 和 LayerZero 相关事件而主动暂停 Arbitrum 跨链桥，虽未发生实际攻击，但暴露跨链协议潜在不确定性和安全顾虑，可能影响用户正常操作和市场信心，风险中等。,0.85,Morpho 因外部事件暂停 Arbitrum 跨链桥以防范风险。,30,low,low,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,Morpho 因 KelpDAO 和 LayerZero 相关事件预防性暂停 Arbitrum 跨链桥，虽未发生实际损失，但反映出潜在外部协议风险可能波及自身，对用户跨链操作造成不便，整体风险较低。,0.88,Morpho 预防性暂停 Arbitrum 跨链桥以规避外部安全事件影响。
151,2026-04-19 12:23:39,Sky 暂停 USDS 跨链桥接功能，评估安全事件影响 据 ChainCatcher 报道，Sky（原 MakerDAO）在 X 平台宣布，已暂停 USDS 的全链同质化代币跨链桥接功能，并将评估 rsETH 相关安全事件的影响。Sky 强调其协议及 USDS 合约未受影响，USDS 仍保持完全抵押状态，可在链上验证。,15,30,15,low,low,True,0,无明显风险,基础设施 / 协议层异常风险,False,[],"[""基础设施 / 协议层异常风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,15,low,low,[],无明显风险,新闻显示Sky主动暂停USDS跨链桥接功能以评估rsETH相关安全事件，但明确声明协议及USDS合约未受影响，USDS仍完全抵押。该措施为预防性操作，未发生实际损失或故障，整体风险较低。,0.92,Sky因rsETH安全事件暂停USDS跨链桥接，强调USDS协议安全且完全抵押。,30,low,low,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,Sky 暂停 USDS 跨链桥功能以评估外部 rsETH 安全事件影响，属于主动风控措施，协议和 USDS 本身未受影响且仍完全抵押，无实际损失或恶意攻击，风险较低。,0.85,Sky 暂停 USDS 跨链桥功能，评估 rsETH 安全事件影响，但其协议和 USDS 合约未受影响。
152,2026-04-19 12:23:33,USDT流动性告急！Aave V3 Core Market利用率达99.99% 据 Foresight News 报道，Aave V3 Core Market（以太坊主网）受 Kelp DAO 攻击事件影响，USDT存款规模达32.9亿美元，但可用流动性仅剩约40万美元，利用率高达99.99%。Plasma Market USDT0市场储备规模为13.5亿美元，可用流动性不足0.01美元，利用率达到100%。,80,68,12,high,medium,False,1,偿付能力 / 储备 / 流动性风险,偿付能力 / 储备 / 流动性风险,True,"[""偿付能力 / 储备 / 流动性风险"", ""基础设施 / 协议层异常风险""]","[""偿付能力 / 储备 / 流动性风险""]",False,0.5,False,False,C_severe_conflict,human_review_priority,80,high,high,"[""偿付能力 / 储备 / 流动性风险"", ""基础设施 / 协议层异常风险""]",偿付能力 / 储备 / 流动性风险,Aave V3 Core Market 的 USDT 流动性几乎耗尽，利用率达 99.99% 以上，可用流动性仅约 40 万美元，存在严重挤兑和偿付压力，直接影响用户取款和协议稳定。,0.95,Aave V3 USDT 池受攻击事件影响，流动性枯竭，利用率超 99.99%。,68,medium,medium,"[""偿付能力 / 储备 / 流动性风险""]",偿付能力 / 储备 / 流动性风险,Aave V3 以太坊主网 USDT 市场存款规模达 32.9 亿美元，但可用流动性仅剩约 40 万美元，利用率 99.99%，Plasma Market 流动性同样枯竭，受 Kelp DAO 攻击事件影响，存在挤兑和偿付压力，风险信号明确。,0.9,Aave V3 上 USDT 流动性利用率接近 100%，可用资金极度短缺，或受 Kelp DAO 攻击波及。
154,2026-04-19 11:23:35,LayerZero 积极修复 rsETH 漏洞事件 LayerZero 发文表示已全面了解 rsETH 漏洞事件。据 BlockBeats 报道，LayerZero 自事件发生以来一直与 KelpDAO 团队积极进行修复，并持续监控情况。其他应用均保持安全。LayerZero 正与 Security Alliance 等团队确认根本原因，并将在掌握全部信息后与 KelpDAO 发布完整的事后分析报告。,45,10,35,medium,low,False,1,链上漏洞 / 攻击风险,无明显风险,False,"[""链上漏洞 / 攻击风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻确认rsETH存在漏洞，LayerZero与KelpDAO正在积极修复并监控，其他应用安全，暂无损失或攻击扩大报道，但漏洞本身构成潜在安全风险，因此评为中等风险。,0.9,LayerZero正积极修复rsETH漏洞，其他应用安全，将发布事后分析。,10,low,low,[],无明显风险,新闻仅描述LayerZero与KelpDAO正积极修复rsETH漏洞，并监控情况，未提及新的攻击或损失，其他应用安全，因此风险较低。,0.9,LayerZero正与KelpDAO修复rsETH漏洞，其他应用安全，将发布事后分析。
156,2026-04-19 11:00:02,"AI趋势 | Bankless 联合创始人称加密攻击频率创新高与 AI 相关 Bankless 联合创始人 Ryan Sean Adams 表示，加密遭黑客攻击的频率已达到历史最高水平。据 BlockBeats 报道，他认为这与 AI 有关，AI 正在赋予黑客「黑暗的超能力」。防御必须尽快跟上。

此前报道，Kelp DAO 遭攻击损失约 2.92 亿美元。Kelp DAO 发推表示，已识别到涉及 rsETH 的可疑跨链活动，并已暂停主网及多条 L2 上的 rsETH 合约，正联合 LayerZero、Unichain 及安全专家展开根本原因分析。",90,50,40,high,medium,False,1,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险""]","[""链上漏洞 / 攻击风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,90,high,high,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻提及Kelp DAO遭攻击损失约2.92亿美元，已确认发生且造成巨额资产损失，同时Bankless联合创始人评论称加密攻击频率因AI赋能而创新高，突显链上安全威胁加剧，风险极高。,0.95,Kelp DAO攻击损失2.92亿美元，Bankless联创称AI助长加密攻击频率创历史新高。,50,medium,medium,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻引述观点称加密攻击频率创新高且与 AI 有关，并提及 Kelp DAO 遭攻击损失约 2.92 亿美元，虽非新发生事件，但反映了当前攻击风险较高的态势，可能引发市场担忧，故评为中等风险。,0.9,Bankless联创称加密攻击频率创新高与AI有关，提及Kelp DAO损失约2.92亿美元。
157,2026-04-19 10:59:46,市场流动性受限！Flying Tulip 撤回 Aave 中全部 ETH Sonic Labs 联合创始人及 Flying Tulip 创始人 Andre Cronje 发推表示，其团队正持续调查 L0/rsETH 事件。据 Foresight News 报道，初步报告显示或因私钥泄露或配置错误导致约 2 亿美元 rsETH 被盗，相关资产随后被存入 Aave 抵押借出 ETH。Andre Cronje 指出，受影响仓位在技术上仍具备抵押支持，但若出现坏账，Aave 的代币机制及安全模块将作为第一道防线吸收风险。不过，Aave 并无补贴用户损失的机制，否则可能引发挤兑。当前 Aave 约持有 70 亿美元 ETH 以及约 1 亿美元提取规模，因此本次事件的整体影响有限。出于优先保障用户流动性的考虑，Flying Tulip 已将 Aave 中的全部 ETH 撤回至其资金管理封装合约，因 Aave 可用流动性已低于其设定的最低阈值。,65,75,10,medium,high,False,1,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]","[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,65,medium,medium,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",链上漏洞 / 攻击风险,新闻称约2亿美元rsETH因私钥泄露或配置错误被盗，并存入Aave借贷，虽Aave有安全模块且整体影响有限，但已引发流动性担忧和潜在挤兑风险，团队已撤回所有ETH。,0.75,约2亿美元rsETH被盗后存入Aave，团队因流动性不足撤回全部ETH。,75,high,high,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",链上漏洞 / 攻击风险,新闻称约2亿美元rsETH因私钥泄露或配置错误被盗，并被存入Aave抵押借出ETH，可能导致Aave坏账并引发挤兑，Flying Tulip已撤回ETH以保障流动性，事件对协议安全和用户资产构成明显威胁。,0.85,2亿美元rsETH被盗，抵押进Aave借ETH，Flying Tulip撤回流动性引发市场关注。
158,2026-04-19 10:43:32,"Curve 创始人：非隔离借贷模式风险高，需加强风险管理 Curve 创始人 Michael Egorov 表示，Kelp DAO 遭攻击损失约 2.92 亿美元，致 Aave 形成坏账。据 Foresight News 报道，这正是当前普遍采用的「非隔离借贷」模式所带来的风险。该模式具备良好的扩展性，但风险更高，因此风险管理至关重要。

Egorov 建议采用完全隔离模式或混合模式来降低风险，尽管市场尚未充分理解这些方案的优势。他指出，Aave v4 的 Hub and Spoke 模型或许是迈向半隔离、更安全方向的一步。",50,10,40,medium,low,False,1,链上漏洞 / 攻击风险,无明显风险,False,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,50,medium,medium,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",链上漏洞 / 攻击风险,新闻提及 Kelp DAO 遭攻击损失约 2.92 亿美元并导致 Aave 形成坏账，已发生明确安全事件和偿付能力影响，虽为评论性内容，但反映出的风险具有现实性和一定范围影响，故评为中等风险。,0.92,Curve 创始人评论非隔离借贷模式风险，提及 Kelp DAO 攻击致 Aave 坏账。,10,low,low,[],无明显风险,新闻为Curve创始人关于借贷模式风险管理的评论，引用历史攻击事件仅为说明观点，未涉及新的实质性风险、损失或异常，整体为中性观点陈述，风险极低。,0.95,Curve创始人评论非隔离借贷模式风险，建议改进，属一般观点。
159,2026-04-19 10:32:48,Aave Chan Initiative 终止 Frontier 质押服务计划 Aave Chan Initiative（ACI）创始人 Marc Zeller 在治理论坛发文表示，鉴于 rsETH 抵押品情况以及 Aave V3 Core 可能面临的 wETH 短缺和坏账风险，ACI 宣布立即终止 Frontier 质押服务计划。据 Foresight News 报道，所有通过 Frontier 质押的 ETH 将进行全额退出，并交由 Aave DAO 支配，以在必要时保护 wETH 存款人。此外，ACI 宣布放弃该服务截至退出前的所有潜在收入和计划费用。Frontier 是 ACI 于 2024 年 1 月为 Aave DAO 推出的质押即服务产品。,55,25,30,medium,low,False,1,偿付能力 / 储备 / 流动性风险,项目治理 / 团队异常风险,False,"[""偿付能力 / 储备 / 流动性风险"", ""项目治理 / 团队异常风险""]","[""项目治理 / 团队异常风险"", ""偿付能力 / 储备 / 流动性风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,55,medium,medium,"[""偿付能力 / 储备 / 流动性风险"", ""项目治理 / 团队异常风险""]",偿付能力 / 储备 / 流动性风险,Aave Chan Initiative 因 Aave V3 面临 wETH 短缺和坏账风险，主动终止 Frontier 质押服务，虽未发生实际损失，但暴露了潜在的流动性压力，因此评为中等风险。,0.9,ACI 因潜在坏账风险终止 Frontier 质押服务，全额退出并移交 Aave DAO。,25,low,low,"[""项目治理 / 团队异常风险"", ""偿付能力 / 储备 / 流动性风险""]",项目治理 / 团队异常风险,新闻核心事件是Aave Chan Initiative主动终止Frontier质押服务以规避潜在坏账和资产短缺风险，这属于项目方正常治理与风险防控行为，并未发生实际攻击、损失或执法事件，因此整体风险较低。,0.9,Aave Chan Initiative因潜在风险终止Frontier质押服务，并退出所有ETH。
166,2026-04-19 09:33:34,"美国财政部扩大金融监控权力，OFAC 制裁名单涉及 518 个比特币地址 Galaxy Digital 研究主管 Alex Thorn 发推表示，美国财政部海外资产控制办公室（OFAC）制裁名单中历史上共涉及 518 个比特币地址。据 Foresight News 报道，这些地址累计接收 249,814 枚 BTC、发送 239,708 枚 BTC，目前净持有约 9306 枚 BTC。Thorn 指出，OFAC 制裁仅是美国拦截非法资产的手段之一，《CLARITY 法案》将进一步扩大财政部相关权力，他认为该法案是自《美国爱国者法案》以来规模最大的金融监控权力扩张。",28,50,22,low,medium,False,1,宏观 / 政策冲击风险,监管与法律风险,False,"[""宏观 / 政策冲击风险""]","[""监管与法律风险""]",False,0.0,False,True,C_severe_conflict,human_review_priority,28,low,low,"[""宏观 / 政策冲击风险""]",宏观 / 政策冲击风险,新闻提及美国财政部通过《CLARITY 法案》扩大金融监控权力，OFAC 制裁名单涉及数百个比特币地址，可能增加未来加密货币的合规压力和监管不确定性，但属于政策趋势评论，未出现实际执法或资产损失，因此评为低风险。,0.95,美国财政部扩大金融监控权力，OFAC 制裁名单涉及 518 个比特币地址。,50,medium,medium,"[""监管与法律风险""]",监管与法律风险,新闻披露美国OFAC制裁历史上涉及518个比特币地址，并指出《CLARITY法案》将大幅扩大财政部的金融监控权力，这加剧了加密货币面临的长期监管压力和合规不确定性，可能影响市场信心，但无直接负面事件发生，因此评为中等风险。,0.85,美国OFAC制裁名单涉及数百个BTC地址，法案或扩大金融监控权力。
174,2026-04-19 03:59:52,英国金融监管机构发布加密货币监管提案 英国金融行为监管局本周发布了一项加密货币监管提案，预计将在 2027 年 10 月之前出台更广泛的法案。据 NS3 报道，草案涵盖稳定币、质押和交易平台，咨询期开放至六月。Consensys 的 Bill Hughes 表示，措辞可能会使大量加密货币企业需要获得 FCA 授权。,15,20,5,low,low,True,0,无明显风险,监管与法律风险,False,[],"[""监管与法律风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,15,low,low,[],无明显风险,新闻仅报道英国FCA发布加密货币监管提案并开启咨询，属于常规政策制定流程，未涉及实际执法、处罚或禁令，无立即负面冲击，风险较低。,0.95,英国FCA发布加密监管提案，拟覆盖稳定币、质押和交易平台。,20,low,low,"[""监管与法律风险""]",监管与法律风险,新闻称英国FCA发布加密货币监管提案草案，处于咨询阶段，预计2027年出台法案，目前尚未形成正式法律约束，未发生实际执法或禁令，仅存在远期合规不确定性，整体风险较低。,0.85,英国FCA发布加密货币监管提案草案，涵盖稳定币、质押和交易平台，咨询期至六月。
176,2026-04-19 03:23:20,"BPI：伊朗2022年以来转移逾30亿美元加密资产，美财政部仅冻结6亿美元 据Cointelegraph报道，比特币政策研究所（BPI）研究主管Sam Lyman表示，伊朗已将比特币列为霍尔木兹海峡石油船只通行费的支付方式之一，但目前尚无链上BTC支付记录。伊朗同时接受人民币、美元挂钩稳定币及BTC缴费，USDT仍占其加密交易的""大多数""。Lyman指出，伊朗自2022年以来已转移约30亿美元加密资产，美国财政部仅成功冻结约6亿美元。BPI据此呼吁美国立法者将比特币视为战略资产，而非采取敌对监管立场。",45,25,20,medium,low,False,1,监管与法律风险,监管与法律风险,True,"[""监管与法律风险""]","[""监管与法律风险"", ""宏观 / 政策冲击风险""]",False,0.5,False,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""监管与法律风险""]",监管与法律风险,新闻披露伊朗自2022年以来转移逾30亿美元加密资产且仅被冻结少部分，表明加密资产被用于规避制裁，可能促使美国加强监管，带来政策不确定性，但未发生直接攻击或损失，因此评为中等风险。,0.75,伊朗转移30亿美元加密资产规避制裁，美国仅冻结6亿，呼吁将比特币视为战略资产。,25,low,low,"[""监管与法律风险"", ""宏观 / 政策冲击风险""]",监管与法律风险,新闻称伊朗大量使用加密资产转移资金并规避制裁，美国监管机构仅能冻结部分，可能促使更严厉的监管措施，但由于目前仅为事实陈述与政策呼吁，尚未发生直接负面事件，风险较低。,0.85,伊朗自2022年转移逾30亿美元加密资产，美国仅冻结6亿，BPI呼吁将比特币列为战略资产。
180,2026-04-19 01:31:38,Kevin Warsh 透露加密货币持仓，承诺若确认担任美联储主席将进行剥离 Kevin Warsh 公开了其加密货币相关持仓，包括 Polymarket，并承诺如果被确认担任美联储主席，将剥离这些资产。据 NS3 报道，Reuters 报道称，Warsh 倾向于缩小美联储资产负债表和实施更紧缩的货币政策，这一立场可能会影响 Bitcoin 和加密银行的市场准入。,10,30,20,low,low,True,0,无明显风险,宏观 / 政策冲击风险,False,[],"[""宏观 / 政策冲击风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,10,low,low,[],无明显风险,新闻仅涉及美联储主席候选人披露个人加密持仓并承诺剥离，以及其政策倾向报道，未出现实际政策变动、市场冲击、资产损失或异常事件，整体风险较低。,0.95,美联储主席候选人Kevin Warsh披露加密持仓并承诺若确认将剥离，其政策倾向偏紧缩。,30,low,low,"[""宏观 / 政策冲击风险""]",宏观 / 政策冲击风险,美联储主席候选人倾向紧缩货币政策，可能影响加密市场准入和流动性，但尚未实施且具有不确定性，构成轻微潜在风险。,0.75,美联储候选人透露加密持仓并承诺剥离，其紧缩政策倾向或影响加密市场。
189,2026-04-18 20:56:00,RAVE清算额超比特币，过去一小时加密市场清算达2930万美元 据 NS3 报道，Coinglass数据显示，过去一小时内加密市场清算总额达到2930万美元。其中，RAVE的清算额为768万美元，略高于比特币的727万美元。,10,50,40,low,medium,False,1,无明显风险,爆仓 / 清算风险,False,[],"[""爆仓 / 清算风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,10,low,low,[],无明显风险,新闻仅报告过去一小时加密市场清算数据，清算总额2930万美元，无攻击、漏洞或异常事件，属于正常市场波动信息，风险极低。,0.95,过去一小时加密市场清算2930万美元，RAVE清算额略高于比特币。,50,medium,medium,"[""爆仓 / 清算风险""]",爆仓 / 清算风险,新闻报告过去一小时加密市场清算总额达2930万美元，其中RAVE清算额（768万）超过比特币（727万），表明RAVE可能遭遇异常抛压或价格波动，存在潜在爆仓和连锁清算风险，但整体清算规模有限，风险中等。,0.8,加密市场一小时清算2930万美元，RAVE清算768万超比特币。
194,2026-04-18 18:43:47,"比特币价格波动或引发清算潮 据 ChainCatcher 报道，Coinglass 数据显示，若 BTC 突破 80,010 美元，主流 CEX 累计空单清算强度将达 20.92 亿美元。反之，若 BTC 跌破 72,410 美元，主流 CEX 累计多单清算强度将达 15.62 亿美元。",45,25,20,medium,low,False,1,爆仓 / 清算风险,爆仓 / 清算风险,True,"[""爆仓 / 清算风险""]","[""爆仓 / 清算风险"", ""异常行情波动风险""]",False,0.5,False,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""爆仓 / 清算风险""]",爆仓 / 清算风险,新闻基于清算数据预警，若比特币价格突破关键点位，可能导致主流交易所大规模空单或多单被清算，清算规模达数十亿美元，存在潜在市场波动和连锁清算风险。,0.9,比特币关键点位突破或引发数十亿美元清算潮。,25,low,low,"[""爆仓 / 清算风险"", ""异常行情波动风险""]",爆仓 / 清算风险,新闻仅展示Coinglass数据，指出BTC达到特定价格时可能触发大规模清算，属于条件性风险提示，未确认已发生任何清算或市场冲击，整体风险较低。,0.95,Coinglass数据显示BTC在突破80010美元或跌破72410美元时可能引发数十亿美元清算。
